,X1,X2,interval,interval_size,y,predicted,label_predicted
951,1.2095667275704447,0.1266116872058696,[0.5 0.6],0.100000024,1,0.5121302,1.0
947,2.2852570278856668,-1.8739779980019915,[0.286 0.429],0.14299998,0,0.35873973,0.0
297,1.6851830500052385,0.4151822912696531,[0.5 0.6],0.100000024,1,0.54491305,1.0
136,1.6686729547162351,-2.0956211377955,[0.286 0.429],0.14299998,0,0.33221468,0.0
77,-0.349980120992482,1.9783798907006127,[0.286 0.6  ],0.314,1,0.4946987,0.0
49,-2.634352937635359,-0.5549995467116895,[0.286 0.429],0.14299998,1,0.43286493,0.0
124,0.5531150679578203,1.1710243525605253,[0.5 0.6],0.100000024,0,0.59168905,1.0
109,-0.5473750169210676,-1.683233343148086,[0.5 0.6],0.100000024,1,0.5554035,1.0
190,1.4744712410975422,-1.5772010035446145,[0.286 0.429],0.14299998,0,0.37060487,0.0
452,-1.953787699372814,2.8246900639201424,[0.    0.429],0.429,0,0.03150379,0.0
542,4.613471812776099,-5.278895407096826,[0.    0.429],0.429,0,0.16523236,0.0
526,-0.0111043635118847,-0.8362048012646298,[0.286 0.429],0.14299998,1,0.40929633,0.0
902,-3.801903169132794,1.4457774079349075,[0.    0.429],0.429,0,0.04262513,0.0
450,-0.7081797032286713,-1.336999462267456,[0.5 0.6],0.100000024,1,0.6174648,1.0
249,2.9623678338443824,-4.040901557613062,[0.286 0.429],0.14299998,0,0.21515638,0.0
740,-0.0987421281568232,1.434516602878842,[0.5 0.6],0.100000024,0,0.60368055,1.0
635,2.1688989086857218,-4.730927528592508,[0.    0.429],0.429,0,0.16986781,0.0
88,4.218045419092791,1.004704844076102,[0.5 0.6],0.100000024,1,0.62746227,1.0
858,4.193932457050838,-3.3156320874787717,[0.286 0.429],0.14299998,0,0.2766768,0.0
174,0.5918457294616898,-1.0693684112536417,[0.286 0.429],0.14299998,0,0.39907616,0.0
64,0.6815579040785167,-0.0056959310259691,[0.286 0.6  ],0.314,1,0.49203292,0.0
92,0.4748267032747934,1.163065336425262,[0.5 0.6],0.100000024,0,0.5897918,1.0
165,-0.3556287704894177,-1.1140962062039792,[0.286 0.429],0.14299998,0,0.4478912,0.0
750,-1.5063547320167532,1.206799561109232,[0.286 0.429],0.14299998,0,0.22789072,0.0
708,0.6328693374805059,-3.4099709373684357,[0.286 0.429],0.14299998,0,0.22715455,0.0
30,0.9020932652683428,1.06457776275921,[0.5 0.6],0.100000024,0,0.588156,1.0
631,0.2136166629981397,-0.1387315044345205,[0.286 0.5  ],0.21399999,0,0.47286692,0.0
597,-0.1565730846172698,0.8856711882106025,[0.5 0.6],0.100000024,0,0.55609274,1.0
849,2.7735986841506897,2.481074932936755,[0.5 0.6],0.100000024,1,0.62746227,1.0
603,0.0211019339966064,-1.0228964957295166,[0.286 0.429],0.14299998,0,0.39412177,0.0
114,-3.261130663860756,3.5484437343232718,[0.    0.429],0.429,0,0.005174256,0.0
920,-2.8082330519983776,2.544086209961076,[0.    0.429],0.429,0,0.026423419,0.0
982,1.154512352091216,-2.0749962227693755,[0.286 0.429],0.14299998,0,0.32645622,0.0
883,1.270264649984547,4.184379670032454,[0.5 0.6],0.100000024,1,0.62746227,1.0
155,0.0693633122389174,-0.6935287436363196,[0.286 0.429],0.14299998,1,0.4226713,0.0
213,2.560787248245992,-1.8907481338454453,[0.286 0.429],0.14299998,0,0.3614989,0.0
386,-2.552930781164356,0.711236750554201,[0.286 0.429],0.14299998,0,0.18572912,0.0
438,2.91973210079732,-4.141503580386325,[0.286 0.429],0.14299998,0,0.20882402,0.0
85,0.8878402208819736,0.8593170468618806,[0.5 0.6],0.100000024,0,0.57045525,1.0
12,-1.791344571771639,0.2930570625291649,[0.286 0.429],0.14299998,0,0.37483728,0.0
689,2.1365380366336924,-0.0598459106491044,[0.5 0.6],0.100000024,1,0.51084316,1.0
463,1.6792724651908328,-1.9446808456248987,[0.286 0.429],0.14299998,0,0.34417087,0.0
376,-9.92341694880978,8.025129822511563,[0.    0.375],0.375,0,1.5729839e-07,0.0
512,1.877837627312036,0.8762922804671838,[0.5 0.6],0.100000024,1,0.58751816,1.0
311,1.7789035618500733,2.473374063743535,[0.5 0.6],0.100000024,1,0.62746227,1.0
943,0.3922191755661997,-0.5077247238604221,[0.286 0.429],0.14299998,1,0.4437386,0.0
142,3.665932495803897,-3.341311630846594,[0.286 0.429],0.14299998,0,0.2681259,0.0
506,3.34002082137366,3.018942468645275,[0.5 0.6],0.100000024,1,0.62746227,1.0
779,0.0643539670612482,0.25665638454541,[0.5 0.6],0.100000024,0,0.50496125,1.0
702,0.7792047369405075,-0.0635548278222911,[0.286 0.5  ],0.21399999,0,0.48856038,0.0
728,-0.0547314710948214,-0.3698498367244268,[0.286 0.429],0.14299998,1,0.44849387,0.0
340,-0.7233035382188265,-1.1574814930551771,[0.5 0.6],0.100000024,0,0.61869854,1.0
84,4.031498493592174,5.520855293532268,[0.5 0.6],0.100000024,1,0.62746227,1.0
700,1.4642954937979222,0.2171675385534386,[0.5 0.6],0.100000024,1,0.5241453,1.0
389,-3.63383813280536,1.888747560292668,[0.    0.429],0.429,0,0.031255342,0.0
801,2.316280067866858,-1.5253391767372948,[0.286 0.429],0.14299998,0,0.38769332,0.0
285,-2.4472671476204635,2.9439758733633,[0.    0.429],0.429,0,0.01964839,0.0
48,-0.70750722616149,0.865470311827897,[0.286 0.429],0.14299998,1,0.42462474,0.0
950,-0.4445305725121525,-2.1924972587464167,[0.5 0.6],0.100000024,1,0.5238809,1.0
564,2.280237959117022,0.5058668558695444,[0.5 0.6],0.100000024,1,0.56225914,1.0
996,-0.0345338860021313,0.6283376405252823,[0.5 0.6],0.100000024,0,0.53576577,1.0
233,-0.9155070868733792,-0.2437835629178352,[0.5 0.6],0.100000024,1,0.6583363,1.0
329,-0.8792671835755475,0.2257134312299432,[0.5 0.6],0.100000024,0,0.55290186,1.0
935,1.97110284969172,-0.8848654576471358,[0.286 0.429],0.14299998,0,0.43644977,0.0
